Town,County,Per capita income,Location,Lat,Lon
"Heidelberg Township, Lehigh County, Pennsylvania",Lehigh County,"$23,521 ","Heidelberg Township, Lehigh County, Pennsylvania, 18053, USA",40.7077231,-75.69953991
"Stroud Township, Pennsylvania",Monroe County,"$23,460 ","Stroud Township, Monroe County, Pennsylvania, USA",41.0008319,-75.23153356
"Emmaus, Pennsylvania",Lehigh County,"$23,245 ","Emmaus, Lehigh County, Pennsylvania, 18049, USA",40.5395421,-75.4968502
"Arlington Heights, Pennsylvania",Monroe County,"$22,831 ","Arlington Heights, Monroe County, Pennsylvania, USA",40.9900938,-75.2162923
"Lynn Township, Pennsylvania",Lehigh County,"$22,688 ","Lynn Township, Lehigh County, Pennsylvania, 18066, USA",40.671731,-75.80083623
"Bensalem Township, Pennsylvania",Bucks County,"$22,517 ","Bensalem Township, Bucks County, Pennsylvania, USA",40.10276155,-74.93213951
"Barrett Township, Pennsylvania",Monroe County,"$22,465 ","Barrett Township, Monroe County, Pennsylvania, USA",41.18361185,-75.25815225
"Falls Township, Bucks County, Pennsylvania",Bucks County,"$22,376 ","Falls Township, Bucks County, Pennsylvania, USA",40.16495635,-74.77650662
"Warminster Township, Pennsylvania",Bucks County,"$22,285 ","Warminster Township, Bucks County, Pennsylvania, 18974, USA",40.20454075,-75.10336153
"Middletown, Northampton County, Pennsylvania",Northampton County,"$22,282 ","Middletown, Bethlehem Township, Northampton County, Pennsylvania, 18020-4567, USA",40.6472356,-75.32479015
"Washington Township, Northampton County, Pennsylvania",Northampton County,"$22,219 ","Washington Township, Northampton County, Pennsylvania, 18013, USA",40.822851,-75.20282734
"Tullytown, Pennsylvania",Bucks County,"$22,206 ","Tullytown, Bucks County, Pennsylvania, USA",40.1392766,-74.8146076
"Fullerton, Pennsylvania",Lehigh County,"$22,164 ","Fullerton, Whitehall, Lehigh County, Pennsylvania, USA",40.63014985,-75.4853745
"Feasterville-Trevose, Pennsylvania",Bucks County,"$22,161 ","Feasterville-Trevose, Beechwood Avenue, Lower Southampton Township, Bucks County, Pennsylvania, 19053, USA",40.1514065,-74.98867852
"Hamilton Township, Monroe County, Pennsylvania",Monroe County,"$22,153 ","Hamilton Township, Monroe County, Pennsylvania, USA",40.9349636,-75.28568143
"Perkasie, Pennsylvania",Bucks County,"$21,986 ","Perkasie, Bucks County, Pennsylvania, USA",40.372048,-75.292676
"Pocono Pines, Pennsylvania",Monroe County,"$21,890 ","Pocono Pines, Monroe County, Pennsylvania, 18350, USA",41.1067545,-75.4543522
"Moore Township, Pennsylvania",Northampton County,"$21,829 ","Moore Township, Northampton County, Pennsylvania, USA",40.7864653,-75.42903955
"Dublin, Pennsylvania",Bucks County,"$21,778 ","Dublin, Bucks County, Pennsylvania, 18917, USA",40.3715883,-75.2016245
"Tatamy, Pennsylvania",Northampton County,"$21,759 ","Tatamy, Northampton County, Pennsylvania, 18085, USA",40.7420892,-75.2556669
"Coopersburg, Pennsylvania",Lehigh County,"$21,689 ","Coopersburg, Lehigh County, Pennsylvania, USA",40.5114864,-75.390336
"Delaware Water Gap, Pennsylvania",Monroe County,"$21,641 ","Delaware Water Gap, Monroe County, Pennsylvania, 18327, United States of America",40.9792619,-75.1429563
"Langhorne, Pennsylvania",Bucks County,"$21,479 ","Langhorne, Bucks County, Pennsylvania, USA",40.1745538,-74.9226665
"Jackson Township, Monroe County, Pennsylvania",Monroe County,"$21,472 ","Jackson Township, Monroe County, Pennsylvania, USA",41.00852215,-75.35139752
"Pocono Township, Pennsylvania",Monroe County,"$21,452 ","Pocono Township, Monroe County, Pennsylvania, USA",41.05325975,-75.30046269
"Paradise Township, Monroe County, Pennsylvania",Monroe County,"$21,408 ","Paradise Township, Monroe County, Pennsylvania, 18332, USA",41.1135582,-75.29334197
"Morrisville, Bucks County, Pennsylvania",Bucks County,"$21,404 ","Morrisville, Bucks County, Pennsylvania, USA",40.2114978,-74.7879399
"Lehigh Township, Northampton County, Pennsylvania",Northampton County,"$21,400 ","Lehigh Township, Northampton County, Pennsylvania, USA",40.76688315,-75.54257727
"Whitehall Township, Pennsylvania",Lehigh County,"$21,383 ","Whitehall Township Police Department, 3731, Lehigh Street, Whitehall, Lehigh County, Pennsylvania, 18052, United States of America",40.65511685,-75.49864888
"Upper Nazareth Township, Pennsylvania",Northampton County,"$21,300 ","Upper Nazareth Township, Northampton County, Pennsylvania, 18064, USA",40.7369265,-75.35581412
"Nazareth, Pennsylvania",Northampton County,"$21,292 ","Nazareth, Northampton County, Pennsylvania, USA",40.7423309,-75.3112095
"Wind Gap, Pennsylvania",Northampton County,"$21,239 ","Wind Gap, Northampton County, Pennsylvania, USA",40.8481509,-75.2915694
