Town,County,Population,Location,Lat,Lon
"Ridley Park, Pennsylvania",Delaware County,"7,002","Ridley Park, Delaware County, Pennsylvania, 19078, USA",39.8812236,-75.3237993
"Archbald, Pennsylvania",Lackawanna County,"6,984","Archbald, Lackawanna County, Pennsylvania, 18403, USA",41.4948038,-75.5368521
"Homeacre-Lyndora, Pennsylvania",Butler County,"6,906","Homeacre-Lyndora, Butler Township, Butler County, Pennsylvania, USA",40.8659375,-79.92555677
"Clairton, Pennsylvania",Allegheny County,"6,796","Clairton, Allegheny County, Pennsylvania, USA",40.2922938,-79.8817181
"California, Pennsylvania",Washington County,"6,795","California, Washington County, Pennsylvania, USA",40.0657724,-79.8918436
"West View, Pennsylvania",Allegheny County,"6,771","West View, Allegheny County, Pennsylvania, 15229, USA",40.5222907,-80.0342217
"Maple Glen, Pennsylvania",Montgomery County,"6,742","Maple Glen, Talamore Drive, Horsham Township, Montgomery County, Pennsylvania, 19002, USA",40.178412,-75.17781969
"Parkville, Pennsylvania",York County,"6,706","Parkville, York County, Pennsylvania, USA",39.7812115,-76.9633133
"Lower Allen, Pennsylvania",Cumberland County,"6,694","Lower Allen, Eberlys Mill, Cumberland County, Pennsylvania, USA",40.2260875,-76.908606
"Ancient Oaks, Pennsylvania",Lehigh County,"6,661","Ancient Oaks, Lehigh County, Pennsylvania, USA",40.5473187,-75.5893535
"Clifton Heights, Pennsylvania",Delaware County,"6,652","Clifton Heights, Delaware County, Pennsylvania, USA",39.9292791,-75.2962972
"Souderton, Pennsylvania",Montgomery County,"6,618","Souderton, Montgomery County, Pennsylvania, 18964, USA",40.3117707,-75.3251759
"Folcroft, Pennsylvania",Delaware County,"6,606","Folcroft, Delaware County, Pennsylvania, USA",39.890946,-75.2837965
"Corry, Pennsylvania",Erie County,"6,605","Corry, Erie County, Pennsylvania, 16407, USA",41.920334,-79.640329
"Blakely, Pennsylvania",Lackawanna County,"6,564","Blakely, Lackawanna County, Pennsylvania, USA",41.4809138,-75.5946319
"Richboro, Pennsylvania",Bucks County,"6,563","Richboro, Cameo Drive, Northampton Township, Bucks County, Pennsylvania, 18954, USA",40.229682,-74.99948892
"Franklin, Pennsylvania",Franklin County,"6,545","Franklin County, Pennsylvania, United States of America",39.9259345,-77.7485516
"Forest Hills, Pennsylvania",Allegheny County,"6,518","Forest Hills, Allegheny County, Pennsylvania, USA",40.4197911,-79.8500487
"Prospect Park, Pennsylvania",Delaware County,"6,454","Prospect Park, Delaware County, Pennsylvania, 19076, USA",39.8878904,-75.3082426
"Edinboro, Pennsylvania",Erie County,"6,438","Edinboro, Erie County, Pennsylvania, USA",41.8742225,-80.1317236
"Catasauqua, Pennsylvania",Lehigh County,"6,436","Catasauqua, Lehigh County, Pennsylvania, 18032, USA",40.6548191,-75.4746273
