Town,Per capita income,Location,Lat,Lon,County
"Hasbrouck Heights, New Jersey","$29,626 ","Hasbrouck Heights, Bergen County, New Jersey, 07604, USA",40.8579293,-74.0816693,Bergen County
"Vista Center, New Jersey","$29,620 ","Vista Center, Ocean County, New Jersey, 08527, USA",40.1592798,-74.3179248,Ocean County
"Union Township, Hunterdon County, New Jersey","$29,535 ","Union Township, Hunterdon County, New Jersey, USA",40.6319365,-74.98557079,Hunterdon County
"Evesham Township, New Jersey","$29,494 ","Evesham Township, Burlington County, New Jersey, USA",39.851752,-74.89174118,Burlington County
"Belmar, New Jersey","$29,456 ","Belmar, Monmouth County, New Jersey, 07719:07720, USA",40.1784471,-74.0218037,Monmouth County
"Allentown, New Jersey","$29,455 ","Allentown, Monmouth County, New Jersey, USA",40.1778887,-74.5834887,Monmouth County
"Upper Freehold Township, New Jersey","$29,387 ","Upper Freehold Township, Monmouth County, New Jersey, USA",40.149225,-74.52795921,Monmouth County
"Highlands, New Jersey","$29,369 ","Highlands, Monmouth County, New Jersey, 07732, USA",40.40372,-73.991527,Monmouth County
"Beattystown, New Jersey","$29,345 ","Beattystown, Warren County, New Jersey, 07870, USA",40.8131549,-74.8429446,Warren County
"Springfield Township, Burlington County, New Jersey","$29,322 ","Springfield Township, Burlington County, New Jersey, USA",40.034569,-74.70634047,Burlington County
"High Bridge, New Jersey","$29,276 ","High Bridge, Hunterdon County, New Jersey, 08829, USA",40.6670454,-74.8957231,Hunterdon County
"Weehawken Township, New Jersey","$29,269 ","Weehawken, Hudson County, New Jersey, 07086, USA",40.7695457,-74.0204177,Hudson County
"Andover Township, New Jersey","$29,180 ","Andover Township, 625, Limecrest Road, Andover, Sussex County, New Jersey, 07860, USA",41.029043,-74.71794774,Sussex County
"Washington Township, Warren County, New Jersey","$29,141 ","Washington, Warren County, New Jersey, 07882, USA",40.7584326,-74.9793378,Warren County
"New Milford, New Jersey","$29,064 ","New Milford, Bergen County, New Jersey, USA",40.9350986,-74.0190281,Bergen County
"Deptford Township, New Jersey","$28,986 ","Deptford, Gloucester County, New Jersey, 08096, USA",39.8271755,-75.1235892,Gloucester County
"Aberdeen Township, New Jersey","$28,984 ","Aberdeen Township, Monmouth County, New Jersey, USA",40.431703,-74.23219071,Monmouth County
"Olivet, New Jersey","$28,981 ","Olivet, Salem County, New Jersey, 08318, USA",39.5481706,-75.1546263,Salem County
"Ashland, New Jersey","$28,936 ","Ashland, Camden County, New Jersey, 08003-3925, USA",39.8631693,-75.0060017,Camden County
"Dayton, New Jersey","$28,924 ","Dayton, Breeze Drive, South Brunswick, Middlesex County, New Jersey, 08810, USA",40.3823045,-74.51705142,Middlesex County
"Cherry Hill Mall, New Jersey","$28,892 ","Cherry Hill Mall, Camden County, New Jersey, 08002, USA",39.9359462,-75.0090586,Camden County
"Leisure Village East, New Jersey","$28,879 ","Leisure Village East, Ocean County, New Jersey, 08723, USA",40.0301169,-74.1643075,Ocean County
"Frelinghuysen Township, New Jersey","$28,792 ","Frelinghuysen Way, Franklin Township, Somerset County, New Jersey, 08890, United States of America",40.5350279,-74.5682325,Somerset County
"Highland Park, New Jersey","$28,767 ","Highland Park, Middlesex County, New Jersey, 08904, USA",40.4959379,-74.4243178,Middlesex County
"Sea Isle City, New Jersey","$28,754 ","Sea Isle City, Cape May County, New Jersey, 08243, USA",39.1548404,-74.6897791,Cape May County
"Turnersville, New Jersey","$28,734 ","Turnersville, Gloucester County, New Jersey, 08012, USA",39.77317,-75.0512813,Gloucester County
"Carlstadt, New Jersey","$28,713 ","Carlstadt, Bergen County, New Jersey, 07072, USA",40.8403778,-74.0906974,Bergen County
"East Windsor Township, New Jersey","$28,695 ","East Windsor Township, Mercer County, New Jersey, 18520, USA",40.2589105,-74.54994117,Mercer County
"Mount Olive Township, New Jersey","$28,691 ","Mt Olive Twp, Flanders - Drakestown Road, Mount Olive, Morris County, New Jersey, 07836, USA",40.8456239,-74.7442054,Morris County
"Glen Gardner, New Jersey","$28,647 ","Glen Gardner, Hunterdon County, New Jersey, USA",40.6967671,-74.9407248,Hunterdon County
"Harrison Township, New Jersey","$28,645 ","Harrison, Hudson County, New Jersey, 07029, USA",40.7464901,-74.1562551,Hudson County
"West Milford Township, New Jersey","$28,612 ","West Milford, Passaic County, New Jersey, USA",41.1312069,-74.3673748,Passaic County
"Hightstown, New Jersey","$28,605 ","Hightstown, Mercer County, New Jersey, 08520, USA",40.2695538,-74.5232089,Mercer County
"Lavallette, New Jersey","$28,588 ","Lavallette, Ocean County, New Jersey, USA",39.9703958,-74.0687475,Ocean County
"Holland Township, New Jersey","$28,581 ","Holland Township, Hunterdon County, New Jersey, 08848, USA",40.59804705,-75.12384149,Hunterdon County
"Cliffside Park, New Jersey","$28,516 ","Cliffside Park, Bergen County, New Jersey, USA",40.8214894,-73.9876388,Bergen County
"Hardyston Township, New Jersey","$28,457 ","Hardyston Township, Hardistonville, Sussex County, New Jersey, 07419, USA",41.1397911,-74.5887017,Sussex County
"North Brunswick Township, New Jersey","$28,431 ","North Brunswick Township, Middlesex County, New Jersey, USA",40.4455575,-74.4893081,Middlesex County
"Northvale, New Jersey","$28,206 ","Northvale, Bergen County, New Jersey, 07647, USA",41.0066649,-73.9490627,Bergen County
"Haddon Heights, New Jersey","$28,198 ","Haddon Heights, Camden County, New Jersey, 08035, USA",39.8773356,-75.0646165,Camden County
"Maywood, New Jersey","$28,117 ","Maywood, Bergen County, New Jersey, 07607, USA",40.902599,-74.0618074,Bergen County
"Hainesport Township, New Jersey","$28,091 ","Hainesport Township, Burlington County, New Jersey, USA",39.9711165,-74.83880904,Burlington County
"East Rutherford, New Jersey","$28,072 ","East Rutherford, Bergen County, New Jersey, 07073, USA",40.833989,-74.0970865,Bergen County
"Nutley, New Jersey","$28,039 ","Nutley, Essex County, New Jersey, 07110, USA",40.8223223,-74.1598663,Essex County
"Jefferson Township, New Jersey","$27,950 ","Jefferson Township, Morris County, New Jersey, USA",40.99359485,-74.56260184,Morris County
"Guttenberg, New Jersey","$27,931 ","Guttenberg, Hudson County, New Jersey, USA",40.7920454,-74.0037505,Hudson County
"Hope Township, New Jersey","$27,902 ","Hope, Warren County, New Jersey, 07844, USA",40.9112092,-74.9673943,Warren County
"Tabernacle Township, New Jersey","$27,874 ","Tabernacle Township, Burlington County, New Jersey, USA",39.813584,-74.65477999,Burlington County
"Ship Bottom, New Jersey","$27,870 ","Ship Bottom, Ocean County, New Jersey, USA",39.642897,-74.180416,Ocean County
"Point Pleasant Beach, New Jersey","$27,853 ","Point Pleasant Beach, Ocean County, New Jersey, USA",40.0916529,-74.0480188,Ocean County
"Middlesex, New Jersey","$27,834 ","Middlesex County, New Jersey, USA",40.4279708,-74.3963102,Middlesex County
"Cinnaminson Township, New Jersey","$27,790 ","Cinnaminson Township, Burlington County, New Jersey, 08077, USA",40.0022415,-74.98820792,Burlington County
"Blairstown Township, New Jersey","$27,775 ","Blairstown, Warren County, New Jersey, 07825, USA",40.9828753,-74.9604501,Warren County
"Frenchtown, New Jersey","$27,765 ","Frenchtown, Hunterdon County, New Jersey, USA",40.5262138,-75.06156,Hunterdon County
"Bloomingdale, New Jersey","$27,736 ","Bloomingdale, Passaic County, New Jersey, 07403, USA",41.002147,-74.3263326,Passaic County
"Colonia, New Jersey","$27,732 ","Colonia, Stokes Lane, Woodbridge Township, Middlesex County, New Jersey, 07067, United States of America",40.59171315,-74.31422739,Middlesex County
"Great Meadows-Vienna, New Jersey","$27,688 ","Great Meadows-Vienna, Water Street, Vienna, Warren County, New Jersey, 07840, USA",40.872067,-74.89126911,Warren County
"Navesink, New Jersey","$27,673 ","Navesink, Monmouth County, New Jersey, 07015, USA",40.3995533,-74.0354171,Monmouth County
"West Long Branch, New Jersey","$27,651 ","West Long Branch, Monmouth County, New Jersey, 07764, USA",40.2903891,-74.0176381,Monmouth County
"Lake Telemark, New Jersey","$27,620 ","Lake Telemark, Morris County, New Jersey, 07842, USA",40.9567651,-74.4979341,Morris County
"Leisuretowne, New Jersey","$27,581 ","LeisureTowne, Burlington County, New Jersey, 08088, USA",39.892337,-74.7021031,Burlington County
"Saddle Brook, New Jersey","$27,561 ","Saddle Brook, Bergen County, New Jersey, 07663, USA",40.898988,-74.0926418,Bergen County
"Stanhope, New Jersey","$27,535 ","Stanhope, Sussex County, New Jersey, 07874, USA",40.9028765,-74.7090517,Sussex County
"Upper Township, New Jersey","$27,498 ","Upper Township, Cape May County, New Jersey, USA",39.24543,-74.71420864,Cape May County
"Pilesgrove Township, New Jersey","$27,400 ","Pilesgrove Township, 1180, Harding Highway, Union Grove, Salem County, New Jersey, 08098, United States of America",39.6482467,-75.3082063,Salem County
"Princeton, New Jersey","$27,292 ","Princeton, Mercer County, New Jersey, United States of America",40.3492744,-74.6592958,Mercer County
"Oakhurst, New Jersey","$27,235 ","Oakhurst, Monmouth County, New Jersey, 07755, USA",40.270945,-74.016249,Monmouth County
"South Hackensack, New Jersey","$27,128 ","South Hackensack, Bergen County, New Jersey, 07606, USA",40.8698546,-74.0500662,Bergen County
"Mine Hill Township, New Jersey","$27,119 ","Mine Hill, Morris County, New Jersey, 07803, USA",40.8778769,-74.5937701,Morris County
"Butler, New Jersey","$27,113 ","Butler, Morris County, New Jersey, USA",41.0037087,-74.3415394,Morris County
"Lake Como, New Jersey","$27,111 ","Lake Como, Monmouth County, New Jersey, USA",40.1709472,-74.0273594,Monmouth County
"Mercerville-Hamilton Square, New Jersey","$27,080 ","Mercerville-Hamilton Square, Upper Pond Court, Hamilton Township, Mercer County, New Jersey, 08690, USA",40.2283525,-74.6734694,Mercer County
"Kendall Park, New Jersey","$26,986 ","Kendall Park, Middlesex County, New Jersey, 08824, USA",40.4209391,-74.560711,Middlesex County
"Southampton Township, New Jersey","$26,977 ","Southampton Township, Burlington County, New Jersey, 08088, USA",39.9226305,-74.71865876,Burlington County
"Island Heights, New Jersey","$26,975 ","Island Heights, Ocean County, New Jersey, 08732, USA",39.9420626,-74.1498616,Ocean County
