Town,County,Per capita income,Location,Lat,Lon
"Bell Acres, Allegheny County, Pennsylvania",Allegheny County,"$41,202 ","Bell Acres, Allegheny County, Pennsylvania, USA",40.5900673,-80.1664479
"Penn Wynne, Montgomery County, Pennsylvania",Montgomery County,"$41,199 ","Penn Wynne, Weymouth Road, Wynnewood, Lower Merion Township, Montgomery County, Pennsylvania, 19096, USA",39.9861455,-75.27044895
"East Bradford Township, Chester County, Pennsylvania",Chester County,"$41,158 ","East Bradford Township, Chester County, Pennsylvania, USA",39.9621275,-75.64145168
"Swarthmore, Delaware County, Pennsylvania",Delaware County,"$40,482 ","Swarthmore, Delaware County, Pennsylvania, 19081, USA",39.9020565,-75.3499124
"Lafayette Hill, Montgomery County, Pennsylvania",Montgomery County,"$40,363 ","Lafayette Hill, Whitemarsh Township, Montgomery County, Pennsylvania, 19444, USA",40.0939993,-75.2529568
"Lower Moreland Township, Montgomery County, Pennsylvania",Montgomery County,"$40,129 ","Lower Moreland Township, Montgomery County, Pennsylvania, 19006, USA",40.1353168,-75.034993
"Radnor Township, Delaware County, Pennsylvania",Delaware County,"$39,813 ","Radnor Township, Delaware County, Pennsylvania, USA",40.02897395,-75.36801433
"Whitemarsh Township, Montgomery County, Pennsylvania",Montgomery County,"$39,785 ","Whitemarsh Township, Montgomery County, Pennsylvania, 19444, USA",40.10200385,-75.25277042
"Upper Providence Township, Delaware County, Pennsylvania",Delaware County,"$39,532 ","Upper Providence Township, Delaware County, Pennsylvania, USA",39.93166365,-75.38895143
"Newtown Township, Delaware County, Pennsylvania",Delaware County,"$39,364 ","Newtown Township, Delaware County, Pennsylvania, USA",39.9931688,-75.406881
"Adams Township, Butler County, Pennsylvania",Butler County,"$39,204 ","Adams Township, Butler County, Pennsylvania, USA",40.71735825,-80.01287343
"Edgewood, Allegheny County, Pennsylvania",Allegheny County,"$39,188 ","Edgewood, Allegheny County, Pennsylvania, USA",40.4320133,-79.8814386
"Dresher, Montgomery County, Pennsylvania",Montgomery County,"$38,865 ","Dresher, Montgomery County, Pennsylvania, 19025, USA",40.1409428,-75.1668414
"Sewickley Hills, Allegheny County, Pennsylvania",Allegheny County,"$38,681 ","Sewickley Hills, Allegheny County, Pennsylvania, USA",40.5817342,-80.1367249
"Exton, Chester County, Pennsylvania",Chester County,"$38,589 ","Exton, Chester County, Pennsylvania, 19341, USA",40.0289955,-75.6207651
"East Marlborough Township, Chester County, Pennsylvania",Chester County,"$38,090 ","East Marlborough Township, Chester County, Pennsylvania, USA",39.8818916,-75.71272151
