Town,Per capita income,Location,Lat,Lon,County
"Mount Olive Township, New Jersey","$28,691 ","Mt Olive Twp, Flanders - Drakestown Road, Mount Olive, Morris County, New Jersey, 07836, USA",40.8456239,-74.7442054,Morris County
"Glen Gardner, New Jersey","$28,647 ","Glen Gardner, Hunterdon County, New Jersey, USA",40.6967671,-74.9407248,Hunterdon County
"Holland Township, New Jersey","$28,581 ","Holland Township, Hunterdon County, New Jersey, 08848, USA",40.59804705,-75.12384149,Hunterdon County
"Hardyston Township, New Jersey","$28,457 ","Hardyston Township, Hardistonville, Sussex County, New Jersey, 07419, USA",41.1397911,-74.5887017,Sussex County
"Jefferson Township, New Jersey","$27,950 ","Jefferson Township, Morris County, New Jersey, USA",40.99359485,-74.56260184,Morris County
"Hope Township, New Jersey","$27,902 ","Hope, Warren County, New Jersey, 07844, USA",40.9112092,-74.9673943,Warren County
"Blairstown Township, New Jersey","$27,775 ","Blairstown, Warren County, New Jersey, 07825, USA",40.9828753,-74.9604501,Warren County
"Frenchtown, New Jersey","$27,765 ","Frenchtown, Hunterdon County, New Jersey, USA",40.5262138,-75.06156,Hunterdon County
"Great Meadows-Vienna, New Jersey","$27,688 ","Great Meadows-Vienna, Water Street, Vienna, Warren County, New Jersey, 07840, USA",40.872067,-74.89126911,Warren County
"Lake Telemark, New Jersey","$27,620 ","Lake Telemark, Morris County, New Jersey, 07842, USA",40.9567651,-74.4979341,Morris County
"Stanhope, New Jersey","$27,535 ","Stanhope, Sussex County, New Jersey, 07874, USA",40.9028765,-74.7090517,Sussex County
"Mine Hill Township, New Jersey","$27,119 ","Mine Hill, Morris County, New Jersey, 07803, USA",40.8778769,-74.5937701,Morris County
"Butler, New Jersey","$27,113 ","Butler, Morris County, New Jersey, USA",41.0037087,-74.3415394,Morris County
"Hopatcong, New Jersey","$26,698 ","Hopatcong, Sussex County, New Jersey, USA",40.9332051,-74.6600975,Sussex County
"Rockaway, New Jersey","$26,500 ","Rockaway, Morris County, New Jersey, USA",40.9012101,-74.5143232,Morris County
"Raritan, New Jersey","$26,420 ","Raritan, Somerset County, New Jersey, 08869, USA",40.5695474,-74.6329363,Somerset County
"Bloomsbury, New Jersey","$26,392 ","Bloomsbury, Hunterdon County, New Jersey, USA",40.6539892,-75.0865619,Hunterdon County
"Andover, New Jersey","$25,914 ","Andover, Sussex County, New Jersey, USA",40.9859311,-74.7421089,Sussex County
"Stockton, New Jersey","$25,712 ","Stockton, Hunterdon County, New Jersey, 08559:18938, USA",40.407883,-74.9782238,Hunterdon County
"Vernon Township, New Jersey","$25,250 ","Vernon Township Fire Department, Main Street, Vernon Valley Plaza, Vernon, Sussex County, New Jersey, 07462, USA",41.19747035,-74.48505604,Sussex County
"Wharton, New Jersey","$25,168 ","Wharton, Morris County, New Jersey, USA",40.8931546,-74.5818254,Morris County
"Milford, New Jersey","$25,039 ","Milford, Hunterdon County, New Jersey, USA",40.5687128,-75.0946169,Hunterdon County
"Stillwater Township, New Jersey","$24,933 ","Stillwater, Sussex County, New Jersey, 07855, USA",41.0359303,-74.878225,Sussex County
"Liberty Township, New Jersey","$24,743 ","Liberty, 378, US 22, Readington Township, Hunterdon County, New Jersey, 08807, USA",40.6190109,-74.7510399,Hunterdon County
"Hackettstown, New Jersey","$24,742 ","Hackettstown, Warren County, New Jersey, 07840, USA",40.8539878,-74.8290556,Warren County
"Hamburg, New Jersey","$24,651 ","Hamburg, Sussex County, New Jersey, 07419, USA",41.1534294,-74.5762713,Sussex County
"Knowlton Township, New Jersey","$24,631 ","Knowlton, Warren County, New Jersey, 07832, USA",40.9303752,-75.027952,Warren County
"Budd Lake, New Jersey","$24,581 ","Budd Lake, Morris County, New Jersey, 07828, USA",40.8712101,-74.7340523,Morris County
"Lopatcong Township, New Jersey","$24,333 ","Lopatcong Township Municipal Building, 232, South 3rd Street, Port Warren, Warren County, New Jersey, 08865, USA",40.7006213,-75.1717431,Warren County
"Ogdensburg, New Jersey","$24,305 ","Ogdensburg, Sussex County, New Jersey, 07439, USA",41.0817636,-74.5923824,Sussex County
"Flemington, New Jersey","$23,769 ","Flemington, Hunterdon County, New Jersey, USA",40.5130953,-74.8591333,Hunterdon County
"Oxford, New Jersey","$23,563 ","Oxford, Warren County, New Jersey, 07863, USA",40.8031545,-74.9896163,Warren County
"Oxford Township, New Jersey","$23,515 ","Oxford, Warren County, New Jersey, 07863, USA",40.8031545,-74.9896163,Warren County
"Netcong, New Jersey","$23,472 ","Netcong, Morris County, New Jersey, 07857, USA",40.8989877,-74.7065516,Morris County
"Somerville, New Jersey","$23,310 ","Somerville, Somerset County, New Jersey, USA",40.5742696,-74.60988,Somerset County
"Manville, New Jersey","$23,293 ","Manville, Somerset County, New Jersey, 08835, USA",40.5409367,-74.587657,Somerset County
"Belvidere, New Jersey","$23,231 ","Belvidere, Warren County, New Jersey, USA",40.82982,-75.0776747,Warren County
"Washington, New Jersey","$23,166 ","Washington, Warren County, New Jersey, 07882, USA",40.7584326,-74.9793378,Warren County
"North Plainfield, New Jersey","$22,791 ","North Plainfield, Somerset County, New Jersey, USA",40.6301025,-74.4273743,Somerset County
"Branchville, New Jersey","$22,748 ","Branchville, Sussex County, New Jersey, USA",41.1464852,-74.7523874,Sussex County
"Wantage Township, New Jersey","$22,488 ","Wantage, Sussex County, New Jersey, 07461, USA",41.2442617,-74.5507156,Sussex County
"Hampton, New Jersey","$22,440 ","Hampton, Hunterdon County, New Jersey, USA",40.7070446,-74.9560032,Hunterdon County
"Bound Brook, New Jersey","$22,395 ","Bound Brook, Somerset County, New Jersey, 08805, USA",40.5684363,-74.5384889,Somerset County
"South Bound Brook, New Jersey","$21,131 ","South Bound Brook, Somerset County, New Jersey, 08880, USA",40.5534365,-74.531544,Somerset County
"Montague Township, New Jersey","$20,676 ","Montague, Sussex County, New Jersey, 07892, USA",41.3031498,-74.7934993,Sussex County
"Victory Gardens, New Jersey","$20,616 ","Victory Gardens, Morris County, New Jersey, USA",40.8759325,-74.5423796,Morris County
"Newton, New Jersey","$20,577 ","Newton, Sussex County, New Jersey, USA",41.0582103,-74.7530943,Sussex County
"Alpha, New Jersey","$20,104 ","Alpha, Warren County, New Jersey, USA",40.6670439,-75.1573972,Warren County
"Franklin, New Jersey","$19,386 ","Franklin, Sussex County, New Jersey, 07416, USA",41.1220409,-74.5804378,Sussex County
"Sussex, New Jersey","$18,866 ","Sussex County, New Jersey, USA",41.133372,-74.6930393,Sussex County
"Phillipsburg, New Jersey","$18,452 ","Phillipsburg, Warren County, New Jersey, 08865, USA",40.6937099,-75.1901761,Warren County
"Dover, New Jersey","$18,056 ","Dover, Morris County, New Jersey, 07801, USA",40.883988,-74.5621025,Morris County
"Walpack Township, New Jersey","$17,624 ","Walpack-Flatbrook Road, Flatbrookville, Sussex County, New Jersey, USA",41.1050592,-74.9559875,Sussex County
